Date,Open,High,Low,Close,Volume,,
2019-03-22,14.8,14.8,13.65,13.75,12653,,
2019-03-21,14.1,14.1,14.1,14.1,0,,
2019-03-20,14.9,14.9,13.5,14.1,15888,,
2019-03-19,15.4,15.4,13.95,14.45,80880,,
2019-03-18,14.65,15.85,14.65,15,31383,,
2019-03-15,16.2,16.3,15.2,15.3,24096,,
2019-03-14,16.85,17.25,16.05,16.15,21609,,
2019-03-13,16.05,17.7,16,16.85,177725,,
2019-03-12,15.75,16.7,14.9,16,71476,,
2019-03-11,15.05,16,15.05,15.45,55655,,
2019-03-08,14.5,16,13.9,14.95,175058,,
2019-03-07,13.95,14.65,13.55,14.2,50413,,
2019-03-06,14.25,14.7,13.5,13.85,10861,,
2019-03-05,12.75,14.5,12.2,14.25,52142,,
2019-03-04,12.35,12.35,12.35,12.35,0,,
2019-03-01,12.7,12.7,12.05,12.35,6525,,
2019-02-28,11.75,12.3,11.65,12.2,23058,,
2019-02-27,11.7,12.4,11.7,12,6814,,
2019-02-26,12.25,12.75,11.75,11.9,22870,,
2019-02-25,12.6,12.6,11.9,12.55,14049,,
2019-02-22,11.95,12.4,11.5,12.25,9423,,
2019-02-21,11.65,12.05,11.4,11.95,8726,,
2019-02-20,12.05,12.5,11.3,11.7,11389,,
2019-02-19,11.45,12.55,10.95,12.25,35754,,
2019-02-18,10.55,10.9,10.15,10.75,15632,,
2019-02-15,10.7,11.25,10,10.15,11952,,
2019-02-14,10.95,10.95,10.55,10.75,10327,,
2019-02-13,11.15,11.8,10.9,11,10751,,
2019-02-12,10.8,11.45,10.6,11.15,11488,,
2019-02-11,11.1,11.3,10.75,10.85,13196,,
2019-02-08,11.4,11.5,10.6,11,90634,,
2019-02-07,12.05,12.05,11.25,11.4,72855,,
2019-02-06,12.7,12.7,11.25,11.85,62935,,
2019-02-05,13,13.25,12.45,12.6,33878,,
2019-02-04,12.85,13.55,12.8,13.35,25658,,
2019-02-01,12.8,13.3,12.8,12.95,7205,,
2019-01-31,13.15,13.5,12.8,12.8,7062,,
2019-01-30,12.7,13.15,12.7,13,6712,,
2019-01-29,12.8,13.7,12.65,12.7,23427,,
2019-01-28,13.15,13.5,12.8,12.9,19620,,
2019-01-25,13.85,13.85,13.15,13.55,13641,,
2019-01-24,13.65,13.65,12.8,13.2,34392,,
2019-01-23,13.7,13.95,13,13.25,8255,,
2019-01-22,14,14.35,13.3,13.75,24335,,
2019-01-21,14.35,14.55,14.15,14.25,5339,,
2019-01-18,14.15,14.6,13.85,14.45,16088,,
2019-01-17,14.55,15,14,14.25,10508,,
2019-01-16,14.3,14.45,14.3,14.35,1428,,
2019-01-15,14.55,14.6,14.4,14.5,4845,,
2019-01-14,13.95,14.8,13.8,14.55,21504,,
2019-01-11,13.8,14.05,13.65,13.95,9633,,
2019-01-10,13.85,14.15,13.5,13.9,7656,,
2019-01-09,14.15,14.35,13.7,13.85,7630,,
2019-01-08,14.1,14.4,14.1,14.2,4353,,
2019-01-07,14.2,14.75,14,14.2,10370,,
2019-01-04,14.15,14.3,14,14.05,8663,,
2019-01-03,14.15,14.5,14.15,14.45,3149,,
2019-01-02,14,14.7,13.85,14.4,9285,,
2019-01-01,14,14.1,13.6,14,13904,,
2018-12-31,14.05,14.75,14,14.05,23339,,
2018-12-28,14.1,14.5,14,14.2,5753,,
2018-12-27,14.1,14.9,14.1,14.2,12488,,
2018-12-26,14.65,14.65,14,14.1,6162,,
2018-12-25,14.4,14.4,14.4,14.4,0,,
2018-12-24,15.05,15.05,14.3,14.4,4924,,
2018-12-21,14.45,14.8,14.15,14.2,6929,,
2018-12-20,15,15,14.2,14.55,11045,,
2018-12-19,15.05,15.45,14.55,14.7,21403,,
2018-12-18,14.25,15.05,14.2,14.7,14131,,
2018-12-17,14.7,14.9,14.4,14.45,10854,,
2018-12-14,14.85,14.9,14,14.5,15549,,
2018-12-13,14.45,15.45,14.15,14.65,47113,,
2018-12-12,13.9,14.5,13,14.15,79527,,
2018-12-11,13.8,13.8,12.5,13.05,22250,,
2018-12-10,13.95,13.95,12.75,13,22634,,
2018-12-07,14.6,14.6,13.4,13.8,99328,,
2018-12-06,14,15.7,13.55,14.6,601919,,
2018-12-05,13,13.4,12.9,13.1,8174,,
2018-12-04,13.1,13.75,13,13.3,3346,,
2018-12-03,13.2,13.9,13.15,13.2,6406,,
2018-11-30,13.75,13.75,13.05,13.1,10940,,
2018-11-29,13.2,13.65,13.05,13.2,6876,,
2018-11-28,13.4,13.8,13,13.1,19804,,
2018-11-27,13.5,14.2,13.5,13.55,7047,,
2018-11-26,13.8,13.95,13.55,13.55,6304,,
2018-11-23,13.85,13.85,13.85,13.85,0,,
2018-11-22,13.8,14,13.65,13.85,6474,,
2018-11-21,13.95,13.95,13.7,13.9,4010,,
2018-11-20,14.8,14.8,13.6,13.7,12394,,
2018-11-19,13.9,16.1,13.5,13.9,182563,,
2018-11-16,13.75,13.9,13.5,13.55,9198,,
2018-11-15,13.7,14.2,13.65,13.75,13694,,
2018-11-14,13.85,14.1,13.75,13.75,5946,,
2018-11-13,14.4,14.4,13.65,13.85,4453,,
2018-11-12,14.2,14.7,13.9,14.2,6033,,
2018-11-09,14.25,15,13.65,14.7,22433,,
2018-11-08,14.05,14.05,14.05,14.05,0,,
2018-11-07,14.25,14.25,14,14.05,3512,,
2018-11-06,13.9,14.3,13.5,14,9822,,
2018-11-05,14.45,14.5,13.65,14.2,10827,,
2018-11-02,13.25,14,13.15,13.85,12101,,
2018-11-01,13.5,13.8,13.2,13.35,5360,,
2018-10-31,13.45,13.45,13.05,13.15,6747,,
2018-10-30,13.2,14.35,12.65,13.05,13542,,
2018-10-29,12.4,13,12.4,12.8,28376,,
2018-10-26,12.85,12.85,12.4,12.55,2275,,
2018-10-25,12.8,12.85,12.2,12.65,11667,,
2018-10-24,12.85,13.45,12.4,12.5,7682,,
2018-10-23,12.2,12.9,12.2,12.65,23152,,
2018-10-22,14.25,14.25,13,13.1,9713,,
2018-10-19,13.7,13.8,13.05,13.7,14810,,
2018-10-18,13.45,13.45,13.45,13.45,0,,
2018-10-17,14.3,14.45,13.25,13.45,20585,,
2018-10-16,14.6,14.6,13.6,14,14184,,
2018-10-15,14.1,14.65,13.65,13.8,27014,,
2018-10-12,15,15,13.6,14.15,14471,,
2018-10-11,12.5,14.65,12.1,14.2,20883,,
2018-10-10,12.45,13.45,12.45,13,5827,,
2018-10-09,12.15,12.75,12.15,12.3,3539,,
2018-10-08,12.1,13,12,12.5,4304,,
2018-10-05,13.5,13.5,12.1,12.65,13039,,
2018-10-04,12.7,13.45,12,13.05,23588,,
2018-10-03,12.5,13.5,12.5,12.85,34613,,
2018-10-02,12.3,12.3,12.3,12.3,0,,
2018-10-01,13.9,13.9,11.8,12.3,39473,,
2018-09-28,13.9,13.9,12.3,13.15,21632,,
2018-09-27,14.25,15.25,13.65,13.85,22136,,
2018-09-26,14.85,15.3,14.15,14.25,11300,,
2018-09-25,15.35,15.35,14.3,14.55,21743,,
2018-09-24,14.85,16.35,13.9,14.8,41374,,
2018-09-21,16.1,16.1,14.5,14.85,37720,,
2018-09-20,15.4,15.4,15.4,15.4,0,,
2018-09-19,16.95,16.95,15.15,15.4,36733,,
2018-09-18,16.6,17.4,15.8,16.2,50676,,
2018-09-17,15.75,16.75,14.85,15.8,71749,,
2018-09-14,16,16,14.6,15.5,27180,,
